date,steve jobs,aapl,iphone,ipad,macbook,score
2018-06-13,0.8333333333333334,40.458333333333336,80.5,13.208333333333334,7.833333333333333,28.56666666666667
2018-06-14,0.7916666666666666,39.416666666666664,79.04166666666667,12.583333333333334,7.375,27.84166666666667
2018-06-15,0.625,40.75,81.66666666666667,13.0,6.875,28.583333333333336
2018-06-16,0.75,41.916666666666664,87.83333333333333,14.208333333333334,6.958333333333333,30.333333333333336
2018-06-17,0.76,42.8,91.88,15.44,7.56,31.688
2018-06-18,0.7083333333333334,41.666666666666664,82.83333333333333,13.166666666666666,7.416666666666667,29.15833333333333
2018-06-19,0.7916666666666666,41.875,81.83333333333333,12.958333333333334,7.625,29.01666666666667
2018-06-20,0.9583333333333334,41.375,82.125,12.583333333333334,7.666666666666667,28.94166666666667
2018-06-21,0.875,39.833333333333336,81.54166666666667,12.583333333333334,7.083333333333333,28.383333333333336
2018-06-22,0.7083333333333334,39.416666666666664,81.875,12.708333333333334,6.666666666666667,28.275
2018-06-23,0.9583333333333334,42.0,89.58333333333333,13.708333333333334,7.291666666666667,30.708333333333332
2018-06-24,0.8,40.92,89.28,14.4,7.44,30.568
2018-06-25,0.8333333333333334,40.416666666666664,81.04166666666667,12.708333333333334,7.541666666666667,28.508333333333333
2018-06-26,0.875,41.0,80.5,12.458333333333334,7.25,28.416666666666668
2018-06-27,0.6666666666666666,40.875,79.25,12.5,7.291666666666667,28.116666666666664
2018-06-28,1.0833333333333333,40.708333333333336,80.95833333333333,12.5,7.208333333333333,28.491666666666667
2018-06-29,0.875,41.791666666666664,82.5,13.041666666666666,7.416666666666667,29.124999999999993
2018-06-30,0.5,40.5,86.625,14.041666666666666,7.0,29.73333333333333
2018-07-01,0.72,41.6,90.88,14.72,7.32,31.047999999999995
2018-07-02,0.5833333333333334,39.958333333333336,83.04166666666667,12.708333333333334,7.125,28.683333333333337
2018-07-03,0.5833333333333334,40.458333333333336,82.375,12.708333333333334,7.416666666666667,28.708333333333332
2018-07-04,0.5,40.916666666666664,84.33333333333333,13.25,7.541666666666667,29.30833333333333
2018-07-05,0.6666666666666666,40.125,85.33333333333333,12.958333333333334,7.416666666666667,29.3
